catchment_id,downstream_id,basin_id,longitude,latitude,river_width,river_depth,river_length,catchment_area,upstream_area,is_river_mouth,segment_sample_cells,segment_water_cells,segment_perennial_cells,segment_water_ratio,segment_dominant_component_id,segment_component_ids,downstream_in_raster,flow_status_row,flow_status_col,point_flow_status,point_component_id,nearest_water_row,nearest_water_col,nearest_water_lon,nearest_water_lat,nearest_water_component_id,nearest_water_status,nearest_water_distance_km,match_confidence
4674983,4674983,45635,79.74708557128906,51.68791580200195,77.5909,1.0,6301.2754,57964428.0,10239145984.0,1,25,18,18,0.72,22086,22086,True,1007,1181,2,22086,1007,1181,79.747375,51.688125,22086,2,0.030646035447365005,high
5033173,5034972,45635,99.70375061035156,52.721248626708984,55.75017,0.0,20552.25,95937040.0,10782081024.0,0,117,30,30,0.2564102564102564,20,20,True,882,3600,2,20,882,3600,99.704125,52.719375,20,2,0.20985848889624475,high
4543581,4545381,45635,72.55958557128906,51.88291549682617,16.556557,0.0,7282.056,87313304.0,10011872256.0,0,48,10,0,0.20833333333333334,21574,21574,True,983,310,1,21574,983,310,72.561625,51.886125,21574,1,0.3833501673720343,high
5034972,5036772,45635,99.80374908447266,52.78874969482422,97.149895,0.0,16235.768,95609216.0,11590343680.0,0,89,26,23,0.29213483146067415,20,20,True,874,3612,2,20,874,3612,99.803125,52.785375,20,2,0.3775891036276983,high
4545381,4547180,45635,72.5879135131836,51.89958190917969,38.64793,0.0,3492.677,110638832.0,12191037440.0,0,139,31,5,0.22302158273381295,20920,20920;21574,True,981,313,1,21574,981,313,72.586375,51.902625,21574,1,0.35445883366986686,high
5036772,5038571,45635,99.89958190917969,52.79708480834961,97.63301,0.0,8360.047,105502056.0,11695845376.0,0,112,28,25,0.25,20,20,True,873,3624,1,20,873,3624,99.902125,52.793625,20,1,0.4209999082040199,high
5067394,5069194,45635,101.5995864868164,50.520416259765625,83.511826,0.0,4106.142,135617344.0,11067412480.0,0,82,21,8,0.25609756097560976,20,20,True,1149,3830,0,0,1149,3829,101.59337500000001,50.516625,20,2,0.6087536368918215,high
4532892,4531092,45635,71.8004150390625,40.7470817565918,21.335464,0.0,6770.846,174615920.0,11240883200.0,0,97,5,0,0.05154639175257732,45704,45610;45611;45704,True,2333,218,0,0,2332,211,71.744875,40.756875,45704,1,4.803477807805171,medium
4547180,4547179,45635,72.6754150390625,52.01708221435547,49.21867,0.0,21058.643,80188144.0,12393791488.0,0,120,52,38,0.43333333333333335,20920,20920,True,967,324,2,20920,967,324,72.677125,52.018125,20920,2,0.16473496706115734,high
4696603,4696602,45635,80.94541931152344,49.72541809082031,60.225365,0.0,9942.416,101319664.0,10084722688.0,0,66,8,0,0.12121212121212122,27903,27836;27837;27903,True,1245,1326,1,27903,1245,1326,80.943625,49.724625,27903,1,0.15624648146879666,medium
5018798,5018799,45635,98.84208679199219,50.096248626708984,55.102497,0.0,21925.979,103014144.0,11387936768.0,0,101,30,19,0.297029702970297,26291,26291,True,1200,3496,1,26291,1200,3496,98.846125,50.095875,26291,1,0.29103367343861486,high
5027786,5027785,45635,99.33541870117188,51.39958190917969,60.26043,0.0,7619.561,95021248.0,10819435520.0,0,49,22,22,0.4489795918367347,22638,22638,True,1042,3555,2,22638,1042,3555,99.332875,51.399375,22638,2,0.17795803335685184,high
